genes,variables,statistic,p.value,parameter,method,padj
COMTD1,Macrophages.bin,0.192052332058948,0.661213940610096,1,Kruskal-Wallis rank sum test,1
COMTD1,SMC.bin,0.613304186741698,0.433546430956477,1,Kruskal-Wallis rank sum test,1
CTSH,Calc.bin,0.00616545241946679,0.937414107501298,1,Kruskal-Wallis rank sum test,1
CTSH,Collagen.bin,0.0039570043836604,0.949842372569113,1,Kruskal-Wallis rank sum test,1
CTSH,epmajor.3years,4.83523389250832,0.0278838582322059,1,Kruskal-Wallis rank sum test,1
CTSH,Fat.bin_10,5.91806433089953,0.0149864141809379,1,Kruskal-Wallis rank sum test,1
CTSH,Fat.bin_40,2.26979930912572,0.131916984026458,1,Kruskal-Wallis rank sum test,1
CTSH,IPH.bin,0.200784800184543,0.654088122291356,1,Kruskal-Wallis rank sum test,1
CTSH,Macrophages.bin,0.0487256888185211,0.82529569330159,1,Kruskal-Wallis rank sum test,1
CTSH,SMC.bin,1.96583364803466,0.160890792032227,1,Kruskal-Wallis rank sum test,1
DUPD1,Calc.bin,1.17508417507785,0.278359036749663,1,Kruskal-Wallis rank sum test,1
DUPD1,Collagen.bin,0.235632183944439,0.62737873485117,1,Kruskal-Wallis rank sum test,1
DUPD1,epmajor.3years,0.156862745128214,0.692061490907836,1,Kruskal-Wallis rank sum test,1
DUPD1,Fat.bin_10,3.06289308175852,0.0800989368021236,1,Kruskal-Wallis rank sum test,1
DUPD1,Fat.bin_40,0.410480349298873,0.521725799684366,1,Kruskal-Wallis rank sum test,1
DUPD1,IPH.bin,1.64344262301527,0.199853780224892,1,Kruskal-Wallis rank sum test,1
DUPD1,Macrophages.bin,0.752043596767174,0.385829986271467,1,Kruskal-Wallis rank sum test,1
DUPD1,SMC.bin,0.454751131267278,0.500087310644034,1,Kruskal-Wallis rank sum test,1
DUSP13,Calc.bin,0.376468319575181,0.539499418801519,1,Kruskal-Wallis rank sum test,1
DUSP13,Collagen.bin,0.0211899957764663,0.884262558181576,1,Kruskal-Wallis rank sum test,1
DUSP13,epmajor.3years,0.0457795043334873,0.830577115353803,1,Kruskal-Wallis rank sum test,1
DUSP13,Fat.bin_10,1.97418068783771,0.160004803899623,1,Kruskal-Wallis rank sum test,1
DUSP13,Fat.bin_40,0.053753789220187,0.816655581351589,1,Kruskal-Wallis rank sum test,1
DUSP13,IPH.bin,2.14570925176057,0.142968951389039,1,Kruskal-Wallis rank sum test,1
DUSP13,Macrophages.bin,0.234440435124362,0.628250682158069,1,Kruskal-Wallis rank sum test,1
DUSP13,SMC.bin,0.0103532592218849,0.918954346475647,1,Kruskal-Wallis rank sum test,1
EDN1,Calc.bin,0.188965722329926,0.663778835400866,1,Kruskal-Wallis rank sum test,1
EDN1,Collagen.bin,0.000284407194804884,0.986544812156462,1,Kruskal-Wallis rank sum test,1
EDN1,epmajor.3years,0.00294895000635284,0.956692774997591,1,Kruskal-Wallis rank sum test,1
EDN1,Fat.bin_10,0.988794379487296,0.320037217293183,1,Kruskal-Wallis rank sum test,1
EDN1,Fat.bin_40,0.0638363870163702,0.800532013602681,1,Kruskal-Wallis rank sum test,1
EDN1,IPH.bin,0.0246818480967707,0.875162430498598,1,Kruskal-Wallis rank sum test,1
EDN1,Macrophages.bin,1.78358188777974,0.181710105678563,1,Kruskal-Wallis rank sum test,1
EDN1,SMC.bin,0.230671184932973,0.63102660099638,1,Kruskal-Wallis rank sum test,1
ENPP1,Calc.bin,1.4376329610664,0.230522763154518,1,Kruskal-Wallis rank sum test,1
ENPP1,Collagen.bin,0.0400367672287395,0.841408710513362,1,Kruskal-Wallis rank sum test,1
ENPP1,epmajor.3years,2.15848561261399,0.141784366593614,1,Kruskal-Wallis rank sum test,1
ENPP1,Fat.bin_10,0.726019744516903,0.394176394518051,1,Kruskal-Wallis rank sum test,1
ENPP1,Fat.bin_40,2.91154018356839,0.0879478488644004,1,Kruskal-Wallis rank sum test,1
ENPP1,IPH.bin,0.554171905780916,0.456618048407471,1,Kruskal-Wallis rank sum test,1
ENPP1,Macrophages.bin,0.394816679391385,0.529778354480415,1,Kruskal-Wallis rank sum test,1
ENPP1,SMC.bin,0.0416267474799765,0.838332915347834,1,Kruskal-Wallis rank sum test,1
ENPP3,Calc.bin,0.0778054832549691,0.780293677565209,1,Kruskal-Wallis rank sum test,1
ENPP3,Collagen.bin,0.00180730455367016,0.966090223167717,1,Kruskal-Wallis rank sum test,1
ENPP3,epmajor.3years,0.0984037316060529,0.753753693141641,1,Kruskal-Wallis rank sum test,1
ENPP3,Fat.bin_10,1.22169410141798,0.269028440002278,1,Kruskal-Wallis rank sum test,1
ENPP3,Fat.bin_40,0.85393723194514,0.355440894862423,1,Kruskal-Wallis rank sum test,1
ENPP3,IPH.bin,0.805723541442255,0.369387615135961,1,Kruskal-Wallis rank sum test,1
ENPP3,Macrophages.bin,4.22896325142498,0.0397397077965681,1,Kruskal-Wallis rank sum test,1
ENPP3,SMC.bin,0.830251435427162,0.362199833911963,1,Kruskal-Wallis rank sum test,1
FGF23,Calc.bin,0.0344071871839301,0.85284335504492,1,Kruskal-Wallis rank sum test,1
FGF23,Collagen.bin,0.90131684545887,0.342428861749281,1,Kruskal-Wallis rank sum test,1
FGF23,epmajor.3years,4.06760093758841,0.0437133168938793,1,Kruskal-Wallis rank sum test,1
FGF23,Fat.bin_10,1.60867455259229,0.204678219270687,1,Kruskal-Wallis rank sum test,1
FGF23,Fat.bin_40,0.336580188842157,0.561809884704526,1,Kruskal-Wallis rank sum test,1
FGF23,IPH.bin,0.903110341127289,0.341949081216063,1,Kruskal-Wallis rank sum test,1
FGF23,Macrophages.bin,1.16732466574184,0.279951632304247,1,Kruskal-Wallis rank sum test,1
FGF23,SMC.bin,0.156936644207344,0.691992678348508,1,Kruskal-Wallis rank sum test,1
GFOD1,Calc.bin,1.00463548788412,0.316191449194858,1,Kruskal-Wallis rank sum test,1
GFOD1,Collagen.bin,5.73691617027203,0.0166119340689128,1,Kruskal-Wallis rank sum test,1
GFOD1,epmajor.3years,0.370971915784594,0.542474966860745,1,Kruskal-Wallis rank sum test,1
GFOD1,Fat.bin_10,1.19273691883518,0.274778181728141,1,Kruskal-Wallis rank sum test,1
GFOD1,Fat.bin_40,6.95923940007992,0.00833874743861341,1,Kruskal-Wallis rank sum test,1
GFOD1,IPH.bin,0.158601364932792,0.69044748372612,1,Kruskal-Wallis rank sum test,1
GFOD1,Macrophages.bin,2.74943800630012,0.0972886187824539,1,Kruskal-Wallis rank sum test,1
GFOD1,SMC.bin,4.25096993322359,0.0392279199657912,1,Kruskal-Wallis rank sum test,1
IGFBP3,Calc.bin,0.049823937256084,0.823369919621412,1,Kruskal-Wallis rank sum test,1
IGFBP3,Collagen.bin,0.985595183887239,0.320821338308619,1,Kruskal-Wallis rank sum test,1
IGFBP3,epmajor.3years,0.638820987327958,0.424138057432868,1,Kruskal-Wallis rank sum test,1
IGFBP3,Fat.bin_10,0.122458168710014,0.726383549912201,1,Kruskal-Wallis rank sum test,1
IGFBP3,Fat.bin_40,0.635297689634685,0.42541871916395,1,Kruskal-Wallis rank sum test,1
IGFBP3,IPH.bin,0.764576509966483,0.381900099415294,1,Kruskal-Wallis rank sum test,1
IGFBP3,Macrophages.bin,0.306770642334749,0.57966864225131,1,Kruskal-Wallis rank sum test,1
IGFBP3,SMC.bin,0.951297512672538,0.329389246408986,1,Kruskal-Wallis rank sum test,1
KAT6B,Calc.bin,0.79555972571949,0.372424263212015,1,Kruskal-Wallis rank sum test,1
KAT6B,Collagen.bin,0.0987741734244432,0.753305662380761,1,Kruskal-Wallis rank sum test,1
KAT6B,epmajor.3years,0.448015894602915,0.503278683392598,1,Kruskal-Wallis rank sum test,1
KAT6B,Fat.bin_10,1.13686721079851,0.286315276173246,1,Kruskal-Wallis rank sum test,1
KAT6B,Fat.bin_40,0.0885956157347302,0.765970189168472,1,Kruskal-Wallis rank sum test,1
KAT6B,IPH.bin,1.40190523186805,0.23640483307364,1,Kruskal-Wallis rank sum test,1
KAT6B,Macrophages.bin,0.36975043431051,0.543140334243285,1,Kruskal-Wallis rank sum test,1
KAT6B,SMC.bin,0.0217689536783017,0.882703396984176,1,Kruskal-Wallis rank sum test,1
MORF4L1,Calc.bin,0.0406276508004192,0.84025835801056,1,Kruskal-Wallis rank sum test,1
MORF4L1,Collagen.bin,1.89754937949244,0.168352878111624,1,Kruskal-Wallis rank sum test,1
MORF4L1,epmajor.3years,0.163884973637922,0.685604613767741,1,Kruskal-Wallis rank sum test,1
MORF4L1,Fat.bin_10,0.410108854174061,0.521914260452634,1,Kruskal-Wallis rank sum test,1
MORF4L1,Fat.bin_40,0.0830687452271299,0.773181026760653,1,Kruskal-Wallis rank sum test,1
MORF4L1,IPH.bin,1.29230047217755,0.255624435406959,1,Kruskal-Wallis rank sum test,1
MORF4L1,Macrophages.bin,0.12566281133111,0.722972065565996,1,Kruskal-Wallis rank sum test,1
MORF4L1,SMC.bin,0.756757042129664,0.384345307291006,1,Kruskal-Wallis rank sum test,1
MTAP,Calc.bin,0.000145339883829365,0.99038117671818,1,Kruskal-Wallis rank sum test,1
